AA_SN_X,AA_SN_Y,AA_SN_Z,GH_AA_X,GH_AA_Y,GH_AA_Z,GH_SN_X,GH_SN_Y,GH_SN_Z
41.78,7.35,42.4,52.77,41.19,61.2,11.1,48.11,48.97
41.5,7.49,42.15,52.49,41.04,60.94,11.1,48.1,48.95
41.5,7.49,42.15,52.57,41.04,61.06,11.17,48.1,48.99
41.46,7.43,42.1,52.48,41.07,61.06,11.13,48.11,48.98
41.4,7.53,42.05,52.44,40.98,60.94,11.14,48.1,48.97
41.42,7.52,42.07,52.46,40.97,60.88,11.16,48.07,48.92
41.55,7.4,42.17,52.51,41.04,60.98,11.1,48.05,48.88
41.58,7.63,42.25,52.49,40.89,60.92,11.02,48.1,48.96
41.62,7.63,42.29,52.53,40.91,60.91,11.02,48.1,48.95
41.62,7.62,42.29,52.55,40.93,60.92,11.04,48.08,48.94
41.65,7.66,42.34,52.55,40.9,60.83,11.01,48.07,48.92
41.65,7.68,42.34,52.62,40.87,60.94,11.06,48.08,48.95
41.64,7.72,42.34,52.54,40.85,60.85,11.0,48.08,48.94
41.64,7.66,42.33,52.5,40.88,60.83,10.96,48.07,48.91
41.55,7.64,42.23,52.53,40.91,60.86,11.1,48.1,48.95
41.54,7.6,42.2,52.49,40.9,60.81,11.09,48.06,48.89
41.66,7.68,42.34,52.48,40.88,60.79,10.94,48.1,48.93
41.78,7.46,42.41,52.71,41.02,61.05,11.06,48.07,48.89
41.55,7.65,42.22,52.48,40.84,60.79,11.07,48.06,48.89
41.65,7.68,42.33,52.46,40.87,60.78,10.94,48.11,48.93
41.88,7.49,42.52,52.63,41.05,61.0,10.87,48.11,48.91
41.88,7.44,42.51,52.65,41.08,61.05,10.89,48.1,48.91
41.88,7.44,42.5,52.61,41.09,61.04,10.87,48.11,48.91
41.79,7.38,42.4,52.66,41.08,61.1,11.01,48.08,48.89
41.8,7.37,42.41,52.65,41.07,61.09,10.98,48.07,48.88
41.83,7.36,42.44,52.67,41.11,61.12,10.98,48.09,48.9
41.84,7.37,42.44,52.69,41.08,61.11,11.0,48.08,48.88
41.84,7.35,42.44,52.69,41.09,61.12,11.0,48.08,48.88
41.86,7.35,42.47,52.67,41.1,61.06,10.96,48.08,48.86
41.86,7.33,42.46,52.68,41.09,61.06,10.97,48.05,48.84
41.93,7.39,42.55,52.77,41.11,61.12,10.98,48.09,48.89
41.88,7.36,42.49,52.7,41.08,61.06,10.96,48.05,48.84
41.89,7.36,42.5,52.68,41.06,61.04,10.94,48.04,48.82
41.88,7.34,42.49,52.68,41.06,61.04,10.94,48.01,48.8
41.9,7.34,42.52,52.75,41.09,61.06,10.98,48.02,48.81
41.86,7.33,42.46,52.68,41.08,61.07,10.96,48.02,48.82
41.96,7.36,42.58,52.8,41.09,61.05,10.98,48.0,48.8
41.97,7.38,42.59,52.72,41.08,60.95,10.9,48.02,48.79
41.97,7.39,42.59,52.72,41.04,60.95,10.9,48.0,48.77
41.98,7.38,42.6,52.8,41.06,61.09,10.95,48.02,48.82
41.97,7.4,42.6,52.76,41.05,61.07,10.93,48.03,48.83
41.98,7.37,42.59,52.79,41.05,61.08,10.95,48.0,48.8
41.96,7.39,42.58,52.77,41.05,61.07,10.94,48.02,48.82
42.06,7.42,42.69,52.84,41.04,61.15,10.91,48.02,48.84
42.07,7.41,42.7,52.9,41.06,61.21,10.94,48.01,48.85
41.98,7.38,42.6,52.87,41.06,61.17,11.02,48.03,48.85
42.02,7.42,42.64,52.9,41.04,61.19,11.01,48.04,48.86
42.02,7.41,42.64,52.93,41.04,61.23,11.03,48.03,48.87
42.04,7.42,42.66,52.92,41.01,61.23,11.01,48.03,48.85
42.01,7.48,42.64,52.8,40.94,61.03,10.94,48.01,48.8
42.08,7.39,42.69,52.94,41.01,61.28,10.99,48.01,48.84
42.04,7.44,42.66,52.83,40.98,61.09,10.93,48.02,48.81
42.15,7.49,42.79,52.88,41.01,61.11,10.86,48.05,48.85
42.12,7.49,42.76,52.9,41.03,61.2,10.89,48.08,48.9
42.14,7.45,42.78,52.91,41.03,61.11,10.9,48.03,48.83
42.04,7.45,42.67,52.86,40.94,61.07,10.96,47.98,48.78
42.17,7.37,42.79,53.16,41.1,61.49,11.09,48.04,48.92
42.16,7.46,42.81,53.0,41.04,61.27,10.94,48.03,48.87
42.06,7.49,42.7,53.07,41.0,61.32,11.12,48.04,48.91
41.97,7.27,42.55,53.14,41.08,61.58,11.29,47.99,48.89
41.95,7.33,42.55,52.82,41.04,61.23,11.0,47.98,48.81
42.24,7.47,42.88,53.03,41.04,61.19,10.92,48.05,48.85
41.81,7.46,42.44,52.06,41.02,60.37,10.46,48.08,48.71
42.03,7.39,42.65,52.72,41.0,60.95,10.83,47.97,48.73
42.0,7.3,42.56,53.09,41.04,61.54,11.23,48.04,48.89
41.81,7.37,42.42,52.91,41.05,61.38,11.2,48.04,48.93
42.08,7.35,42.68,52.88,41.06,61.13,10.95,48.01,48.8
42.08,7.47,42.72,52.28,41.05,60.48,10.4,48.08,48.72
41.91,7.57,42.56,52.44,40.96,60.59,10.71,48.09,48.79
41.95,7.45,42.59,52.93,41.0,61.25,11.09,48.03,48.89
41.93,7.51,42.58,53.03,41.04,61.44,11.18,48.1,49.03
41.92,7.3,42.52,52.89,41.11,61.32,11.09,48.02,48.87
41.88,7.3,42.47,52.64,41.09,61.12,10.9,48.03,48.83
41.96,7.63,42.63,52.8,40.97,60.97,10.97,48.12,48.93
42.09,7.48,42.73,52.83,41.03,61.17,10.85,48.06,48.88
41.97,7.38,42.58,53.04,41.03,61.42,11.17,47.99,48.89
41.88,7.22,42.46,53.01,41.13,61.58,11.23,48.0,48.91
42.06,7.36,42.68,52.94,41.07,61.19,11.01,48.0,48.82
42.01,7.5,42.65,52.93,41.0,61.16,11.05,48.06,48.89
42.16,7.38,42.79,52.94,41.04,61.21,10.89,47.97,48.79
42.05,7.29,42.65,52.92,41.06,61.25,10.99,47.95,48.77
42.04,7.29,42.64,52.95,41.08,61.26,11.04,47.99,48.8
41.99,7.3,42.59,52.91,41.11,61.24,11.06,48.02,48.84
42.06,7.35,42.67,52.82,41.06,61.12,10.9,48.01,48.8
42.21,7.37,42.83,52.94,41.06,61.2,10.85,48.0,48.79
42.01,7.43,42.63,52.8,41.0,61.1,10.92,48.01,48.82
41.99,7.29,42.59,52.87,41.05,61.22,11.01,47.96,48.77
41.71,7.41,42.33,52.84,40.94,61.27,11.23,47.96,48.86
41.74,7.42,42.36,52.87,40.93,61.29,11.23,47.95,48.86
41.99,7.61,42.66,52.81,40.83,60.97,10.94,47.97,48.8
41.92,7.65,42.59,52.57,40.83,60.77,10.8,48.04,48.81
42.0,7.53,42.65,52.73,40.9,60.93,10.86,47.97,48.77
41.85,7.4,42.47,52.96,40.93,61.28,11.21,47.91,48.81
41.95,7.49,42.59,53.05,40.91,61.4,11.19,47.97,48.89
41.99,7.44,42.62,52.69,40.97,61.02,10.83,48.0,48.79
