"[19:28:10.511] 78.49, 110.48, 49.21, 103.36, 108.08,"
"78.49, 110.48, 49.21, 103.36, 108.08,"
"78.49, 110.48, 49.21, 103.36, 108.08,"
"78.49, 110.00, 48.89, 102.90, 108.08,"
"[19:28:10.677] 78.49, 110.00, 48.89, 102.90, 107.60,"
"78.49, 110.48, 49.21, 102.90, 108.08,"
"78.49, 110.00, 49.21, 103.36, 108.08,"
"78.49, 110.00, 48.89, 102.90, 108.08,"
"[19:28:10.844] 78.49, 110.00, 48.89, 102.90, 107.60,"
"78.49, 110.00, 49.21, 102.90, 108.08,"
"79.28, 110.48, 49.53, 103.36, 108.08,"
"79.68, 111.46, 50.50, 103.83, 108.55,"
"[19:28:11.010] 80.08, 113.42, 53.46, 105.23, 109.04,"
"81.29, 117.42, 59.58, 107.12, 108.55,"
"82.91, 117.42, 64.53, 108.08, 108.55,"
"83.72, 116.92, 68.17, 109.52, 108.08,"
"[19:28:11.177] 84.55, 116.92, 70.78, 110.00, 107.60,"
"84.55, 117.42, 71.91, 110.00, 107.60,"
"84.96, 118.44, 74.20, 110.48, 107.12,"
"85.79, 118.44, 76.52, 110.97, 106.65,"
"[19:28:11.343] 86.20, 118.95, 79.68, 110.97, 106.17,"
"87.88, 118.44, 81.69, 111.46, 105.70,"
"88.72, 118.44, 83.72, 111.46, 105.23,"
"90.00, 117.93, 84.96, 111.95, 104.76,"
"[19:28:11.509] 91.29, 117.42, 85.79, 111.95, 104.29,"
"92.15, 116.92, 86.20, 111.95, 104.29,"
"92.58, 116.41, 86.62, 111.95, 103.83,"
"93.02, 115.91, 86.62, 111.46, 103.36,"
"[19:28:11.676] 93.02, 115.91, 86.20, 111.95, 103.36,"
"92.58, 115.91, 85.79, 110.97, 103.36,"
"92.15, 115.41, 85.37, 111.46, 103.36,"
"92.15, 114.91, 84.96, 110.97, 102.90,"
"[19:28:11.842] 91.72, 114.91, 84.96, 110.48, 102.90,"
"91.72, 114.91, 84.14, 110.97, 102.90,"
"91.29, 114.91, 83.72, 110.48, 102.90,"
"91.29, 114.91, 83.32, 110.97, 103.36,"
"[19:28:12.009] 90.86, 114.91, 82.50, 110.48, 103.83,"
"90.00, 114.91, 80.88, 111.46, 104.76,"
"89.57, 114.91, 78.88, 111.95, 105.70,"
"88.30, 113.92, 74.58, 111.95, 107.12,"
"[19:28:12.175] 87.46, 112.93, 68.17, 111.95, 108.55,"
"85.37, 111.95, 62.38, 111.46, 109.52,"
"83.72, 111.46, 57.51, 110.97, 110.48,"
"82.91, 111.95, 53.80, 110.48, 110.97,"
"[19:28:12.341] 81.69, 111.95, 51.48, 110.00, 111.46,"
"80.88, 110.97, 50.50, 109.52, 110.97,"
"80.48, 110.48, 48.89, 108.55, 111.46,"
"80.48, 110.00, 47.61, 108.08, 111.46,"
"[19:28:12.508] 80.08, 109.52, 46.98, 107.60, 111.46,"
"80.08, 110.48, 46.03, 106.65, 110.97,"
"78.09, 109.52, 45.71, 106.65, 111.46,"
"78.09, 109.52, 45.09, 106.17, 110.97,"
"[19:28:12.674] 79.68, 110.00, 44.47, 105.70, 110.48,"
"77.70, 110.48, 44.15, 105.23, 110.48,"
"77.70, 108.55, 43.85, 105.23, 110.00,"
"77.70, 109.04, 43.85, 104.76, 110.00,"
"[19:28:12.840] 77.70, 109.52, 43.54, 104.76, 110.00,"
"77.31, 109.04, 43.54, 104.76, 110.00,"
"77.31, 110.00, 43.23, 104.29, 110.00,"
"77.31, 110.00, 42.92, 104.29, 110.00,"
"[19:28:13.007] 77.31, 110.48, 42.92, 103.83, 110.00,"
"76.91, 108.55, 43.23, 104.29, 110.00,"
"78.09, 110.00, 42.92, 103.83, 110.00,"
"78.49, 110.48, 42.92, 103.83, 110.00,"
"[19:28:13.173] 78.09, 108.55, 42.92, 103.83, 110.00,"
"78.09, 108.55, 42.92, 103.36, 109.52,"
"78.49, 108.08, 42.61, 103.83, 109.52,"
"78.49, 107.60, 43.23, 103.83, 109.52,"
"[19:28:13.340] 78.49, 108.08, 43.23, 103.83, 109.52,"
"78.88, 109.04, 43.54, 103.83, 109.52,"
"78.88, 110.00, 44.47, 104.29, 110.00,"
"79.68, 110.48, 45.71, 104.29, 110.00,"
"[19:28:13.506] 78.49, 112.93, 48.25, 105.23, 110.00,"
"80.08, 114.41, 51.16, 106.17, 110.00,"
"81.69, 117.42, 55.81, 107.12, 109.52,"
"83.72, 116.41, 60.27, 107.60, 109.52,"
"[19:28:13.673] 87.88, 116.41, 64.17, 108.55, 109.52,"
"88.30, 115.91, 68.17, 110.00, 108.55,"
"90.00, 115.91, 71.91, 110.48, 108.08,"
"91.29, 115.91, 75.35, 110.97, 107.60,"
"[19:28:13.839] 92.15, 116.92, 79.68, 111.46, 107.12,"
"92.58, 117.93, 84.14, 112.44, 106.17,"
"93.89, 117.93, 85.79, 111.95, 105.70,"
"94.33, 117.93, 87.04, 112.44, 105.70,"
"[19:28:14.005] 93.45, 119.46, 89.15, 112.93, 105.23,"
"93.02, 120.48, 90.43, 113.42, 104.76,"
"93.45, 120.48, 91.72, 113.42, 104.76,"
"93.45, 119.97, 92.15, 113.42, 104.29,"
"[19:28:14.172] 93.89, 119.46, 92.58, 112.93, 104.29,"
"94.33, 119.46, 91.72, 113.42, 104.29,"
"93.89, 118.95, 92.15, 112.93, 104.29,"
"94.33, 118.44, 91.72, 112.93, 103.83,"
"[19:28:14.338] 93.89, 118.44, 91.29, 112.93, 103.83,"
"93.45, 118.44, 90.43, 112.93, 103.36,"
"93.45, 118.44, 90.43, 112.44, 103.36,"
"93.02, 117.93, 90.00, 112.44, 103.83,"
"[19:28:14.504] 93.02, 117.93, 90.00, 111.95, 103.36,"
"92.58, 117.42, 89.15, 111.95, 103.36,"
"92.58, 117.93, 88.72, 111.95, 103.83,"
"92.15, 117.93, 88.30, 111.95, 103.36,"
"[19:28:14.671] 92.58, 117.42, 87.88, 111.95, 103.83,"
"92.15, 117.42, 86.20, 112.44, 104.76,"
"91.72, 116.92, 82.91, 112.44, 105.70,"
"91.29, 116.41, 77.31, 112.44, 107.12,"
"[19:28:14.837] 90.43, 114.41, 70.40, 111.95, 107.60,"
"90.00, 112.44, 64.53, 111.95, 109.04,"
"87.88, 110.97, 58.54, 110.97, 110.48,"
"86.20, 110.00, 55.13, 110.48, 110.48,"
"[19:28:15.003] 84.55, 109.52, 52.47, 109.52, 110.97,"
"83.32, 109.04, 50.18, 109.04, 111.46,"
"82.50, 110.00, 48.57, 109.04, 111.95,"
"81.69, 109.04, 46.98, 108.08, 111.95,"
"[19:28:15.170] 80.88, 110.00, 45.71, 107.60, 111.95,"
"80.48, 109.04, 44.78, 107.12, 111.95,"
"80.88, 108.55, 44.15, 106.17, 111.46,"
"80.48, 108.55, 43.54, 105.70, 110.97,"
"[19:28:15.336] 80.48, 108.08, 43.54, 105.23, 110.97,"
"80.48, 108.08, 42.92, 105.23, 110.48,"
"80.48, 108.08, 42.92, 104.76, 110.48,"
"80.48, 107.60, 42.61, 104.29, 110.48,"
"[19:28:15.503] 80.08, 108.08, 42.31, 104.29, 110.00,"
"80.08, 107.12, 42.31, 103.83, 110.00,"
"80.08, 107.60, 42.31, 103.83, 110.48,"
"80.08, 108.08, 42.31, 103.36, 110.00,"
"[19:28:15.669] 80.08, 107.60, 42.31, 103.36, 110.00,"
"79.68, 107.60, 42.00, 103.83, 110.00,"
"79.68, 107.12, 42.00, 103.36, 109.52,"
"79.68, 106.17, 42.00, 103.36, 109.52,"
"[19:28:15.836] 79.28, 106.17, 42.00, 103.36, 109.52,"
"79.28, 106.17, 41.70, 103.36, 109.52,"
"79.28, 106.17, 41.70, 103.36, 109.52,"
"79.68, 106.65, 42.31, 102.90, 109.52,"
"[19:28:16.002] 80.08, 107.60, 42.92, 103.36, 109.52,"
"81.29, 108.55, 45.40, 103.83, 109.52,"
"82.91, 110.48, 48.25, 105.23, 109.52,"
"85.37, 111.95, 53.46, 106.17, 109.04,"
"[19:28:16.169] 87.46, 113.42, 58.20, 107.60, 108.08,"
"89.57, 113.42, 62.03, 108.08, 107.60,"
"89.15, 114.91, 65.61, 109.04, 107.60,"
"90.00, 115.41, 69.28, 110.00, 106.65,"
"[19:28:16.335] 90.00, 116.92, 73.05, 110.00, 106.65,"
"90.86, 116.92, 76.52, 110.48, 105.70,"
"92.15, 116.92, 80.08, 110.97, 105.70,"
"93.02, 116.92, 82.50, 111.46, 105.23,"
"[19:28:16.501] 94.33, 117.93, 85.79, 111.46, 104.76,"
"96.10, 117.42, 88.72, 111.95, 104.29,"
"97.88, 116.92, 90.43, 111.95, 103.83,"
"99.23, 116.41, 90.86, 111.95, 103.83,"
"[19:28:16.668] 100.14, 116.41, 92.15, 111.95, 103.36,"
"100.60, 115.91, 91.72, 111.46, 103.36,"
"101.51, 115.91, 91.72, 111.46, 103.36,"
"101.97, 115.41, 92.15, 110.97, 103.36,"
"102.90, 114.91, 92.15, 110.97, 102.90,"
"102.90, 114.91, 92.15, 110.48, 102.90,"
"103.36, 114.41, 91.72, 110.97, 102.44,"
"103.36, 114.41, 91.72, 110.48, 102.44,"
"103.36, 113.92, 91.29, 110.48, 102.44,"
"102.90, 113.92, 91.29, 110.00, 102.44,"
"102.90, 113.42, 90.43, 110.00, 101.97,"
"102.44, 113.42, 90.43, 110.00, 101.97,"
"101.97, 113.42, 89.57, 110.00, 102.44,"
"101.97, 113.42, 89.15, 110.48, 102.44,"
"101.51, 113.42, 88.30, 110.00, 103.36,"
"100.14, 112.93, 86.62, 110.97, 104.29,"
"98.78, 112.93, 82.50, 111.95, 106.17,"
"95.21, 112.44, 77.70, 112.44, 107.12,"
"[19:28:17.433] 91.72, 112.44, 71.15, 111.95, 108.08,"
"88.72, 112.44, 65.25, 111.46, 108.55,"
"86.62, 112.44, 61.33, 110.97, 110.00,"
"83.72, 112.44, 56.49, 110.00, 110.48,"
"[19:28:17.599] 82.09, 112.44, 53.13, 109.04, 110.97,"
"81.29, 111.95, 50.18, 108.08, 110.97,"
"80.08, 110.97, 48.57, 107.60, 110.97,"
"80.08, 110.97, 47.29, 107.12, 110.97,"
"[19:28:17.766] 80.08, 110.00, 45.71, 106.65, 110.97,"
"78.88, 109.04, 45.40, 106.17, 110.97,"
"78.88, 109.04, 44.78, 105.70, 110.97,"
"78.88, 108.55, 44.15, 105.23, 110.97,"
"[19:28:17.932] 78.49, 108.08, 43.54, 104.76, 110.48,"
"78.49, 108.08, 43.23, 104.76, 110.48,"
"78.49, 107.60, 42.61, 104.29, 110.48,"
"78.09, 107.60, 42.92, 104.29, 110.48,"
"[19:28:18.099] 78.49, 107.60, 42.61, 103.83, 110.00,"
"77.70, 107.60, 42.61, 103.83, 110.00,"
"77.70, 107.12, 42.92, 103.83, 110.00,"
"77.70, 107.12, 42.61, 103.83, 110.48,"
"[19:28:18.265] 77.70, 107.12, 42.61, 103.83, 110.00,"
"77.70, 107.60, 42.61, 103.83, 110.00,"
"77.31, 107.12, 42.61, 103.83, 110.00,"
"77.70, 107.60, 42.61, 103.83, 110.00,"
"[19:28:18.431] 77.31, 107.60, 42.92, 103.83, 110.00,"
"77.31, 107.12, 42.61, 103.36, 110.00,"
"77.31, 107.60, 42.92, 103.36, 109.52,"
"77.70, 107.12, 43.23, 103.36, 110.00,"
"[19:28:18.598] 77.70, 107.12, 42.92, 103.36, 110.00,"
"77.70, 107.12, 42.92, 103.36, 110.00,"
"77.70, 107.12, 42.92, 103.36, 109.52,"
"77.70, 107.60, 42.92, 103.36, 109.52,"
"[19:28:18.764] 77.70, 107.60, 43.23, 103.36, 109.52,"
"78.09, 107.60, 42.92, 103.36, 109.52,"
"78.09, 108.08, 42.92, 102.90, 109.52,"
"78.88, 109.04, 44.47, 103.83, 110.00,"
"[19:28:18.931] 80.48, 110.00, 46.34, 104.29, 110.00,"
"83.72, 110.48, 48.89, 105.23, 109.52,"
"84.55, 110.97, 52.80, 106.17, 109.52,"
"87.04, 111.95, 56.83, 107.60, 109.52,"
"[19:28:19.097] 90.86, 112.93, 62.03, 108.55, 109.04,"
"93.45, 113.42, 67.07, 108.55, 107.60,"
"96.10, 112.93, 70.03, 109.04, 106.65,"
"97.88, 112.93, 73.43, 109.52, 106.65,"
"[19:28:19.264] 100.60, 112.44, 76.91, 110.00, 106.17,"
"103.83, 111.46, 80.08, 110.00, 105.70,"
"105.70, 110.97, 82.91, 110.97, 105.23,"
"106.65, 110.97, 84.96, 110.97, 104.76,"
"108.55, 110.48, 87.04, 110.48, 104.29,"
"110.00, 110.00, 88.72, 110.97, 103.83,"
"110.97, 110.00, 89.15, 110.48, 103.83,"
"111.46, 109.52, 90.00, 110.48, 103.36,"
"112.44, 109.04, 90.43, 110.48, 103.36,"
"111.95, 109.04, 91.29, 110.48, 102.90,"
"112.44, 108.55, 91.29, 110.48, 102.90,"
"111.95, 109.04, 91.72, 110.00, 102.90,"
"111.95, 109.04, 91.29, 110.00, 102.44,"
"111.95, 108.55, 91.29, 110.00, 102.44,"
"111.46, 108.08, 90.86, 110.00, 101.97,"
"110.97, 108.08, 90.00, 109.52, 101.97,"
"110.97, 108.08, 89.57, 109.52, 102.44,"
"110.00, 108.08, 89.15, 109.04, 102.44,"
"110.00, 107.60, 88.72, 109.04, 102.44,"
"109.04, 108.08, 87.46, 109.52, 102.90,"
"108.08, 108.08, 85.37, 109.52, 103.83,"
"106.17, 108.55, 79.28, 109.52, 105.23,"
"102.44, 108.55, 72.29, 109.04, 106.17,"
"98.33, 109.04, 65.61, 108.08, 107.12,"
"94.77, 109.04, 59.93, 107.60, 108.08,"
"91.29, 109.04, 55.47, 107.12, 109.04,"
"88.72, 109.04, 51.48, 106.65, 110.00,"
"85.79, 109.04, 48.89, 106.17, 110.00,"
"84.14, 109.04, 47.29, 105.70, 110.48,"
"82.50, 109.52, 45.71, 105.23, 110.48,"
"82.09, 109.04, 44.78, 105.23, 110.97,"
"81.29, 109.04, 43.54, 104.76, 110.97,"
"80.88, 108.55, 43.23, 104.76, 110.48,"
"80.48, 107.60, 42.92, 104.76, 110.48,"
"80.48, 107.12, 42.92, 104.29, 110.48,"
"80.08, 106.65, 42.61, 104.29, 110.00,"
"80.08, 106.65, 42.92, 103.83, 110.00,"
"79.68, 106.65, 42.61, 104.29, 110.48,"
"79.68, 107.12, 42.31, 103.83, 109.52,"
"79.28, 106.65, 42.31, 103.36, 109.52,"
"79.28, 107.12, 42.31, 103.36, 109.52,"
"79.28, 106.65, 42.00, 103.36, 109.52,"
"79.28, 106.65, 42.00, 103.36, 109.52,"
"78.88, 107.12, 42.00, 103.36, 109.52,"
"79.28, 106.65, 42.31, 103.36, 109.52,"
"78.88, 106.65, 42.00, 103.36, 109.52,"
