Label,Preds
[[150.10435   11.03735  148.69478    8.173539  23.130396  22.011814]],[[156.14787    12.227819  154.8182      7.9253945  25.122046   23.903664 ]]
[[150.09688   11.012746 148.69623    8.117151  23.169575  22.0524  ]],[[156.23798    12.178788  154.92227     7.8995996  25.013931   23.812757 ]]
[[150.08714   10.988095 148.69469    8.064568  23.21149   22.092325]],[[156.31975   12.129997 155.01788    7.876824  24.910688  23.726389]]
[[150.07709   10.962127 148.69312    8.014405  23.251492  22.128029]],[[156.39171   12.082172 155.1033     7.856076  24.814543  23.64626 ]]
[[150.07396    10.941806  148.69676     7.9648466  23.29853    22.166323 ]],[[156.45378    12.035442  155.17848     7.8389897  24.726528   23.573137 ]]
[[150.06796   10.914246 148.6994     7.916739  23.335604  22.19373 ]],[[156.50548    11.990045  155.24286     7.8259873  24.647638   23.50783  ]]
[[150.0589     10.893479  148.69707     7.8714437  23.376513   22.222769 ]],[[156.54657    11.946303  155.29614     7.8146725  24.57811    23.450228 ]]
[[150.05234   10.885217 148.69301    7.826567  23.427353  22.261574]],[[156.57782    11.904327  155.33907     7.8053966  24.518242   23.40054  ]]
[[150.04202    10.8674    148.68819     7.7836742  23.46911    22.288456 ]],[[156.59853    11.864144  155.37097     7.7988048  24.468311   23.359167 ]]
[[150.03163    10.851027  148.68309     7.7431555  23.505795   22.308819 ]],[[156.6107     11.825488  155.39392     7.7905126  24.422499   23.32085  ]]
[[150.02635    10.841091  148.68091     7.7028737  23.544582   22.333082 ]],[[156.61424    11.789547  155.40756     7.7823954  24.38148    23.285902 ]]
[[150.02222   10.833496 148.67958    7.665786  23.58174   22.353897]],[[156.61177   11.75684  155.41437    7.776744  24.34523   23.254345]]
[[150.0164     10.8229265 148.67769     7.6315446  23.607483   22.363268 ]],[[156.60516    11.727077  155.41634     7.7771907  24.312277   23.225517 ]]
[[150.01366    10.815002  148.67775     7.5992746  23.628984   22.372547 ]],[[156.59013    11.702749  155.4086      7.7807527  24.283895   23.200924 ]]
[[150.01447    10.818922  148.67805     7.5676503  23.653162   22.387405 ]],[[156.56757    11.684357  155.3919      7.7816243  24.26313    23.183256 ]]
[[150.01671   10.824954 148.678      7.542236  23.675524  22.40239 ]],[[156.54095   11.669167 155.37039    7.779673  24.24971   23.17156 ]]
[[150.01837   10.830758 148.67686    7.52418   23.692944  22.41508 ]],[[156.51076    11.655699  155.34488     7.7783217  24.240805   23.163582 ]]
[[150.02046   10.841196 148.67441    7.507207  23.709238  22.430696]],[[156.47762   11.643382 155.31615    7.777138  24.235907  23.159119]]
[[150.02815    10.851279  148.67804     7.4885783  23.718937   22.440414 ]],[[156.44228   11.631561 155.28513    7.775638  24.234535  23.157972]]
